problem_type,dataset_size,num_features,num_records,accuracy_priority,speed_priority,interpretability,recommended_algorithm
Classification,Large,47,99818,High,Medium,Medium,Random Forest
Classification,Medium,20,11224,High,Medium,Low,Random Forest
Classification,Medium,23,11379,High,Low,Low,SVM
Classification,Medium,22,6997,High,Low,Low,SVM
Classification,Medium,15,4389,High,Medium,Low,SVM
Classification,Small,6,1561,Medium,Medium,High,KNN
Clustering,Large,21,80338,Medium,High,Medium,K-Means
Classification,Medium,8,8000,Medium,High,High,Logistic Regression
Classification,Medium,19,5750,High,Medium,Low,Random Forest
Classification,Small,8,2336,Medium,High,Medium,Naive Bayes
Classification,Medium,7,5456,Medium,High,High,Decision Tree
Regression,Medium,9,7871,High,High,High,Linear Regression
Classification,Medium,27,10305,High,Low,Low,SVM
Classification,Small,9,1748,Medium,Medium,High,KNN
Classification,Medium,26,8198,High,Medium,Low,SVM
Clustering,Large,4,56224,Medium,High,Medium,K-Means
Regression,Medium,10,6937,High,High,High,Linear Regression
Classification,Large,32,28675,High,Medium,Low,Random Forest
Classification,Small,4,937,Medium,Medium,High,KNN
Classification,Small,15,3616,High,High,Medium,Naive Bayes
Classification,Small,15,3694,High,High,Medium,Naive Bayes
Classification,Medium,18,6796,High,Medium,Medium,Random Forest
Clustering,Large,16,78532,Medium,Medium,Medium,K-Means
Classification,Small,20,1846,Medium,High,High,Decision Tree
Classification,Small,6,960,Medium,Medium,High,KNN
Classification,Small,4,1540,Medium,Medium,High,KNN
Classification,Medium,29,6654,High,Low,Low,Random Forest
Regression,Small,6,2256,Medium,High,High,Linear Regression
Clustering,Medium,11,12024,Medium,Medium,Medium,K-Means
Classification,Small,3,1485,Medium,Medium,High,KNN
Classification,Medium,23,4146,High,Medium,Low,SVM
Clustering,Large,15,79942,Medium,High,Medium,K-Means
Classification,Large,25,90697,High,Medium,Low,Random Forest
Regression,Medium,5,8813,High,High,High,Linear Regression
Classification,Large,38,48746,High,Medium,Low,Random Forest
Classification,Small,14,2766,Medium,High,High,Logistic Regression
Regression,Small,13,2494,Medium,High,High,Linear Regression
Classification,Small,4,1496,High,High,High,Decision Tree
Classification,Small,8,1360,Medium,High,High,Logistic Regression
Classification,Small,8,1991,Medium,Medium,High,KNN
Clustering,Large,12,28710,Medium,Medium,Medium,K-Means
Classification,Small,13,2369,High,Low,Low,SVM
Clustering,Large,25,57247,Medium,High,Medium,K-Means
Classification,Medium,46,11482,High,Low,Medium,Random Forest
Classification,Small,5,455,Medium,Medium,High,KNN
Classification,Medium,5,10179,High,High,High,Logistic Regression
Classification,Small,8,1984,Medium,Medium,High,KNN
Classification,Medium,9,6417,Medium,High,High,Decision Tree
Classification,Small,8,3605,High,High,Medium,Naive Bayes
Classification,Medium,6,8147,Medium,High,High,Logistic Regression
Regression,Small,5,785,High,High,High,Linear Regression
